player_season_id,rank,similar_player_season_id,similarity
bundesliga_1fcheidenheim1846_jonasfohrenbach__2425,10,superlig_antalyaspor_bunyaminbalci__2324,0.9882
bundesliga_1fcheidenheim1846_jonasfohrenbach__2526,1,premierleague_nottinghamforest_harrytoffolo__2324,0.9778
bundesliga_1fcheidenheim1846_jonasfohrenbach__2526,2,seriea_lazio_nunotavares__2526,0.9721
bundesliga_1fcheidenheim1846_jonasfohrenbach__2526,3,premierleague_everton_ashleyyoung__2324,0.9702
bundesliga_1fcheidenheim1846_jonasfohrenbach__2526,4,seriea_verona_martinfrese__2526,0.9696
bundesliga_1fcheidenheim1846_jonasfohrenbach__2526,5,premierleague_wolverhamptonwanderers_hugobueno__2526,0.9673
bundesliga_1fcheidenheim1846_jonasfohrenbach__2526,6,bundesliga_1fcunionberlin_josipjuranovic__2425,0.9668
bundesliga_1fcheidenheim1846_jonasfohrenbach__2526,7,seriea_pisa_samueleangori__2526,0.9667
bundesliga_1fcheidenheim1846_jonasfohrenbach__2526,8,premierleague_newcastleunited_kierantrippier__2324,0.9653
bundesliga_1fcheidenheim1846_jonasfohrenbach__2526,9,premierleague_ipswichtown_benjohnson__2425,0.9649
bundesliga_1fcheidenheim1846_jonasfohrenbach__2526,10,seriea_empoli_liberatocacace__2324,0.9629
bundesliga_1fcheidenheim1846_julianniehues__2526,1,superlig_goztepe_novatusmiroshi__2425,0.9817
bundesliga_1fcheidenheim1846_julianniehues__2526,2,ligue1_metz_kevinndoram__2324,0.9768
bundesliga_1fcheidenheim1846_julianniehues__2526,3,laliga_osasuna_ikermunoz__2324,0.9761
bundesliga_1fcheidenheim1846_julianniehues__2526,4,laliga_levante_kervinarriaga__2526,0.9753
bundesliga_1fcheidenheim1846_julianniehues__2526,5,ligue1_angers_jeaneudesaholou__2425,0.9750
bundesliga_1fcheidenheim1846_julianniehues__2526,6,ligue1_nice_baptistesantamaria__2425,0.9744
bundesliga_1fcheidenheim1846_julianniehues__2526,7,superlig_konyaspor_sonerdikmen__2324,0.9736
bundesliga_1fcheidenheim1846_julianniehues__2526,8,seriea_lecce_balthazarpierret__2425,0.9725
bundesliga_1fcheidenheim1846_julianniehues__2526,9,seriea_roma_bryancristante__2425,0.9714
bundesliga_1fcheidenheim1846_julianniehues__2526,10,superlig_galatasaray_lemina__2526,0.9709
bundesliga_1fcheidenheim1846_leoscienza__2425,1,ligue1_lyon_rayancherki__2425,0.9807
bundesliga_1fcheidenheim1846_leoscienza__2425,2,ligue1_parissaintgermain_ousmanedembele__2526,0.9803
bundesliga_1fcheidenheim1846_leoscienza__2425,3,superlig_trabzonspor_muci__2526,0.9802
bundesliga_1fcheidenheim1846_leoscienza__2425,4,seriea_sassuolo_armandlauriente__2324,0.9800
bundesliga_1fcheidenheim1846_leoscienza__2425,5,laliga_barcelona_raphinha__2324,0.9796
bundesliga_1fcheidenheim1846_leoscienza__2425,6,premierleague_brentford_mikkeldamsgaard__2425,0.9794
bundesliga_1fcheidenheim1846_leoscienza__2425,7,premierleague_bournemouth_marcustavernier__2526,0.9782
bundesliga_1fcheidenheim1846_leoscienza__2425,8,superlig_antalyaspor_samlarsson__2324,0.9772
bundesliga_1fcheidenheim1846_leoscienza__2425,9,seriea_sassuolo_domenicoberardi__2324,0.9770
bundesliga_1fcheidenheim1846_leoscienza__2425,10,bundesliga_bayerleverkusen_jonashofmann__2324,0.9764
bundesliga_1fcheidenheim1846_marnonbusch__2425,1,seriea_inter_matteodarmian__2324,0.9882
bundesliga_1fcheidenheim1846_marnonbusch__2425,2,seriea_como_albertomoreno__2425,0.9877
bundesliga_1fcheidenheim1846_marnonbusch__2425,3,seriea_cagliari_gabrielezappa__2425,0.9868
bundesliga_1fcheidenheim1846_marnonbusch__2425,4,superlig_kasimpasa_kevinrodrigues__2425,0.9863
bundesliga_1fcheidenheim1846_marnonbusch__2425,5,superlig_antalyaspor_kennethpaal__2526,0.9861
bundesliga_1fcheidenheim1846_marnonbusch__2425,6,superlig_kayserispor_carole__2526,0.9859
bundesliga_1fcheidenheim1846_marnonbusch__2425,7,superlig_galatasaray_kaanayhan__2425,0.9848
bundesliga_1fcheidenheim1846_marnonbusch__2425,8,superlig_fatihkaragumruk_esgaio__2526,0.9844
